Index,Traffic_Received,Traffic_Predicted_Context_Aware,Traffic_Predicted_Context_Free
0,11,14,6
1,10,16,4
2,4,4,5
3,6,4,3
4,10,8,6
5,9,11,9
6,9,11,8
7,6,8,7
8,6,4,9
9,12,10,11
10,9,9,15
11,7,6,12
12,10,5,10
13,7,8,10
14,9,10,6
15,5,8,7
16,6,4,5
17,6,3,7
18,10,3,8
19,5,9,12
20,7,8,4
21,5,10,8
22,7,5,7
23,7,15,8
24,4,3,5
25,5,1,5
26,9,2,6
27,6,5,10
28,1,2,4
29,6,7,2
30,10,4,6
31,10,6,9
32,4,6,7
33,2,5,3
34,7,1,2
35,8,6,7
36,9,12,10
37,4,5,6
38,7,2,5
39,7,2,9
40,10,5,7
41,7,2,8
42,6,4,7
43,9,3,7
44,8,10,10
45,10,10,8
46,3,5,10
47,6,1,5
48,7,6,8
49,11,5,9
50,8,6,10
51,8,10,5
52,8,9,10
53,8,8,11
54,4,4,8
55,5,2,4
56,7,4,7
57,8,5,8
58,6,3,8
59,6,8,7
60,8,7,7
61,5,7,11
62,5,4,5
63,5,5,6
64,6,5,6
65,7,11,6
66,6,8,6
67,8,7,8
68,5,7,6
69,3,0,5
70,4,3,5
71,5,1,6
72,10,3,6
73,4,8,11
74,6,3,3
75,7,6,7
76,8,5,8
77,3,7,7
78,4,3,4
79,5,2,5
80,5,5,6
81,5,2,5
82,4,2,4
83,7,3,5
84,7,8,8
85,9,12,8
86,11,6,8
87,7,7,10
88,8,2,7
89,10,1,6
90,2,12,10
91,3,4,4
92,10,1,6
93,10,8,8
94,5,6,5
95,6,2,6
96,4,4,7
97,1,1,5
98,6,2,4
99,3,2,7
100,7,2,4
101,8,6,9
102,5,10,5
103,7,5,5
104,3,5,7
105,4,3,4
106,7,3,5
107,10,11,9
108,1,6,8
109,5,2,4
110,8,3,6
111,3,5,9
112,4,3,3
113,10,2,5
114,10,7,9
115,9,8,8
116,9,12,9
117,4,6,8
118,7,4,5
119,7,6,7
120,3,3,5
121,5,2,4
122,8,5,7
123,9,9,7
124,9,13,10
125,1,5,9
126,9,2,3
127,6,4,8
128,6,8,7
129,7,4,4
130,11,7,8
131,9,8,11
132,11,12,9
133,3,7,11
134,4,1,5
135,11,2,7
136,3,7,9
137,9,5,3
138,9,10,10
139,4,6,10
140,4,4,3
141,3,2,6
142,1,3,6
